Type,Subtype ,ID No. ,Severity ,Example Descriptions/Comments 
Computer Management ,Agent Enforcement Level changed ,407,Notice ,Computer '$computer$' changed Enforcement Level from '$param1$' to '$param2$'. Note: Parameters 1 and 2 are one of the Enforcement Levels or “Local Approval”. 
Computer Management ,Agent error ,431,Error ,Unsupported kernel [$kernelversion$] running. Agent will not track files. 
,,,,Cb Protection Agent was unable to communicate with the kernel. Agent may be unprotected Unable to connect to the Kernel. Agent will not track files.  
,,,,Computer failed to receive Notifier Logo: $logoFilePath$. 
,,,,Free space on Cb Protection Agent drive is low: Drive[$letter$:] Available[$param1$] 
,,,,Total[$param2$] Free[$param3$] Threshold[$param4$] 
,,,,Upload failed: Retry limit exceeded. File upload canceled for file '$filePath$'. Attempts[$param$] 
Computer Management ,Agent FIPS status changed ,851,Info ,FIPS status has changed on computer '$computer$' from '$param1$' to $param2$'. 
Computer Management ,Agent health check ,447,Info/ ,Cb Protection Agent is healthy. Options[$param1$]. 
,,,Error/ ,Cb Protection Agent failed a health check. ErrorsFound[$param2$] Options[$param1$] 
,,,Warning ,Cb Protection Agent detected a problem: $param1$. $param2$ 
,,,,Timestamp of events from computer $computer$ are $param1$ day(s) in the $param2$ 
,,,,Timestamp of events from computer $computer$ are within expected range 
,,,,
Type,Subtype ,ID No. ,Severity ,Example Descriptions/Comments 
Computer Management ,Agent health check request ,457,Info ,User '$userName$' requested health check for computer '$computer$'.  
Computer Management ,Agent notification (other) ,1019,Info ,Service control notification on '$computer$': $param1$. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
Computer Management ,Agent notification (session change) ,1018,Info ,Session change on '$computer$': $param1$. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
Computer Management ,Agent notification (time change) ,1017,Info ,System time change on '$computer$': $param1$. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
Computer Management ,Agent Policy changed ,406,Notice ,Computer '$computer$' changed Policies from '$param1$' to '$param2$'. Change Note: Capitalization of the subtype was changed in v8.1.0. 
Computer Management ,Agent Policy updated ,408,Info ,Computer '$computer$' updated Policy from version '$param1$' to '$param2$'. Change Note: Capitalization of the subtype was changed in v8.1.0. 
Computer Management ,Agent requires upgrade ,415,Notice ,Agent polled from '$ipaddress$'. Agent Version($param1$). Agent needs to upgrade to latest version. 
Computer Management ,Agent restart ,405,Info ,"Cb Protection Agent has started, version $param1$. "
Computer Management ,Agent shutdown ,404,Info ,Cb Protection Agent was stopped because of a system shutdown. 
Computer Management ,Agent synchronization finished ,411,Info ,Computer '$computer$' finished resynchronizing its local state with the Cb Protection Server. 
,,,,(Reason: ‘$param1$’). 
,,,,"Note: Param1 is one of the following:  ‘Agent queue size grew too large’, ‘Server request during agent initialization was deferred’, ‘Server request during agent cache consistency scan was deferred’, ‘Server request’, ‘Agent did not have enough history’, ‘Protocol error’, ‘Agent CLI Request’ "
Computer Management ,Agent synchronization requested ,418,Info ,User '$username$' has requested resynchronization of computer '$computer$' with the Cb Protection Server. 
Computer Management ,Agent synchronization started ,410,Info ,Computer '$computer$' started resynchronizing its local state with the Cb Protection Server (Reason: $param2$). 
Computer Management ,Agent uninstalled ,421,Notice ,Agent has been uninstalled from computer '$computer$' 
Computer Management ,Agent upgraded ,409,Info ,Computer '$computer$' changed agent version from '$param1$' to '$param2$'. 
Computer Management ,Automatic resynchronization ,425,Info ,Cb Protection Server scheduled an auto resync on '$computer$' because agent appears to have gone back in time ($param1$/$param2$). 
,,,,"Note: Param1 is the server’s expected sequence number of an action. Param2 is the sequence number sent by the agent, which can be used for diagnostic purposes with Carbon Black Support. "
Computer Management ,Cache check complete ,416,Info ,Cache consistency check stopped Level [$param1$] $param2$ 
,,,,"Cache consistency check complete: $param1$ optimizations made, $param2$ corrections. "
,,,,"Note:  Param1 is cache consistency level. Param2 is a series of values for diagnosis of what was done during the check, and also indicates whether the check ran to completion (“Successful[1]”) or stopped before completion (“Successful[0]”). "
Computer Management ,Cache check error ,417,Warning ,"Cache consistency error number '$param1$', file '$param2$'. "
Computer Management ,Cache check start ,426,Info ,"Cache consistency check at level '$param1$', flags '$param2$' started. "
Computer Management ,Cache consistency check request ,453,Info ,User ‘$userName$’ requested a cache consistency check Level[$param1$] Options[$param2$] for computer ‘$computer$’] 
,,,,"Note: Param1 is the consistency check level chosen by the user and param2 indicates any option checkboxes chosen, such as “Full scan of new files”. "
,,,,
Type,Subtype ,ID No. ,Severity ,Example Descriptions/Comments 
Computer Management ,Cb Response sensor status ,458,Info ,Cb Response Sensor Version '$param1' installed and '$param2'. 
,,,,Cb Response Sensor is not installed. 
,,,,"Note: param1 is the Cb Response sensor version; param2 is the sensor state (e.g., ‘Running’). "
,,,,"Change Note: Prior to v8.0.0, the event subtype was “Carbon Black sensor status”. "
Computer Management ,CLI executed ,429,Notice ,The CLI command “$commandname$” was executed. 
Computer Management ,CLI password reset ,403,Notice ,The CLI password for computer '$computer$' was reset by '$username$'. 
Computer Management ,Clone orphaned ,446,Info ,Clone computer '$computer$' was orphaned due to deletion of template '$param1$'. 
Computer Management ,Clone registered ,445,Info ,Computer '$computer$' was registered as a clone of template '$param1$'. 
Computer Management ,Computer added ,400,Info ,New computer '$computer$' with Policy '$policyName$' registered from '$ipAddress$'. Agent Version ($param1$). 
Computer Management ,Computer deleted ,401,Info ,Computer '$computer$' was deleted by '$username$'. 
Computer Management ,Computer modified ,402,Info ,Computer '$computer$' was modified by '$username$'. 
,,,,Computer '$computer$' was moved into the Policy '$policyName$' by '$username$'. 
,,,,Computer '$computer$' was modified by '$username$' to use automatic Policy assignment. 
,,,,Computer '$computer$' was restored to its previous Policy by '$username$'. 
,,,,Computer '$computer$' was scheduled for re-registration by '$username$'. 
,,,,Duplicate computer '$computer$' with address '$param1$' was re-registered. 
,,,,Computer from '$param1$' changed its name from '$param2$' to '$param3$'. 
,,,,Agent upgrade for computer '$computer$' was requested by '$username$'. 
Computer Management ,Computer reboot request ,441,Info ,User '$username$' requested reboot of computer '$computer$'. 
Computer Management ,Computer registered ,459,Info ,Computer '$computer$' registered with the server. $param1$ users are currently logged-in to the computer. 
Computer Management ,Configuration changed ,434,Info ,Disk configuration change detected: $param1$ volumes added; $param2$ volumes removed. 
Computer Management ,Configure agent dumps ,452,Info ,User ‘$userName$’ changed agent dump configuration from $param1$ to $param2$ for computer ‘$computer$’. 
Computer Management ,Debug level set ,451,Info ,User ‘$userName$’ set debug level for computer ‘$computer$’ from ‘$param1$’ to ‘$param2$’ for $param3$ minutes. 
Computer Management ,Diagnostic file deletion request ,454,Info ,User '$userName$' requested deletion of diagnostic files from computer '$computer$. Change Note: Prior to v8.1.0 this subtype was “File deletion request”. 
Computer Management ,Duplicate computer registration ,433,Warning ,Error registering computer ‘$computer$’ from $ipaddress$ [$param1$]: unique agent id duplicates that of computer $param2$ from $param3$. 
Computer Management ,File deleted ,460,Info ,File 'test123.bat' [FBAD9...34F00] was successfully deleted from MYCORP\LAPTOP3 
Computer Management ,File deletion failed ,461,Error ,If the deletion failed because it was a file from a protected publisher:   
,,,,File deletion failure of 'emet_gui.exe' [2024F...41CCD] from MYCORP\LAPTOP3. Error: Microsoft File If the deletion failed because the agent version doesn’t support server-based deletion:   
,,,,File deletion failure of 'emet_gui.exe' [2024F...41CCD] from MYCORP\LAPTOP3 because this Agent version doesn’t support it. 
,,,,If the deletion failed because the file is no longer present on the computer and not in its inventory: 
,,,,File deletion failure of 'tryme.bat' [76C7F...BD915] from MYCORP\DESKTOP8. Error: Delete Error[C0000034] 
,,,,
Type,Subtype ,ID No. ,Severity ,Example Descriptions/Comments 
Computer Management ,File deletion processed (file not found) ,466,Info ,If a file is exists in a computer’s inventory but is not on disk: 
,,,,File deletion processed with file not found for [EDBD7...12F06] from MYCORP\DESKTOP9 
Computer Management ,File deletion requested ,464,Info ,If the request was to delete a file from one computer: 
,,,,  User 'admin' requested file deletion of all instances of [2488C...558F1] from MYCORP\DESKTOP6. 
,,,,If the request was to delete a file from all computers: 
,,,,  User 'admin' requested file deletion of all instances of [FBAD9...34F00] from 100 computer(s). 
,,,,If the request was to delete a file came from an Event Rule: 
,,,,  User 'System' requested file deletion of all instances of [81027...576DA] from MYCORP\DESKTOP6. 
Computer Management ,File process error ,423,Error ,Agent on computer '$computer$' is unable to process required update '$param1$' from Cb Protection Server. 
Computer Management ,File receive error ,422,Warning ,Agent on computer '$computer$' is unable to download required update '$param1$' from Cb Protection Server. 
Computer Management ,File upload canceled ,438,Info ,User '$username$' canceled upload of file [$hash$] from computer '$computer$'. 
,,,,User '$username$' canceled upload of file '$filepath $' from computer '$computer$'. 
Computer Management ,File upload completed ,439,Info ,Upload of file [$hash$] from computer '$computer$' completed. 
,,,,Upload of file '$filePathAndName$' from computer '$computer$' completed. 
Computer Management ,File upload deleted ,449,Info ,User '$username$' deleted uploaded file [$hash$]. 
,,,,User '$username$' deleted uploaded file '$filePathAndName$'. 
Computer Management ,File upload error ,440,Error ,Upload of file [$hash$] from computer '$computer$' failed because of error $description$. Upload of file '$filePathAndName$' from computer '$computer$' failed because of error $description$. 
Computer Management ,File upload requested ,437,Info ,User '$username$' requested upload of file [$hash$] from computer '$computer$'. 
,,,,User '$username$' requested upload of file '$filePathAndName$' from computer '$computer$'. 
,,,,Upload of file [$hash$] from computer '$computer$' was requested by Event Rule '$ruleName$'. 
Computer Management ,Installer rescan requested ,424,Info ,User '$username$' has requested rescan of installers on computer '$computer$'. 
Computer Management ,Local agent cache copy request ,455,Info ,User '$userName$' requested local copy of agent cache for computer '$computer$'. 
Computer Management ,Lockdown all computers ,427,Warning ,Lockdown All button pressed by '$username$': $param1$ computer(s) have been moved to High Enforcement level. 
Computer Management ,Prioritize updates request ,450,Info ,Updates prioritized for computer '$computer$' by user '$userName$'. 
,,,,Prioritization of updates removed for computer '$computer$' by user '$username$'. 
Computer Management ,Resend all Policy rules request ,456,Info ,User '$userName$' requested all Policy rules be resent to computer '$computer$'. 
,,,,User '$userName$' requested all Policy rules be resent to computer '$computer$' using shared file. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
Computer Management ,Security Alert ,448,Warning ,Unauthorized connection attempt: Pid[$processId$] Address[$IPaddress$] to the Notifier client interface 
,,,,"The $fileState$ file '$filePathAndName$' [$hash$] is set to run automatically: $param2$."" "
,,,,"Notes: fileState is the state of the file in Cb Protection (e.g., Unapproved or Banned). Param2 is a description of the file source (e.g., Service [Microsoft Network Inspection]). The case referred to in the second description does not occur for agents in Low enforcement, and only once per file unless there is a reboot. "
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
,,,,
Type,Subtype ,ID No. ,Severity ,Example Descriptions/Comments 
Computer Management ,Tamper Protection changed ,428,Warning ,User '$username$' has disabled Tamper Protection on computer '$computer$'. Change Note: Capitalization of the subtype was changed in v8.1.0. 
Computer Management ,Template created ,442,Info ,User '$username$' has converted computer '$param1$' to template '$computer$'. 
Computer Management ,Template deleted ,444,Info ,User '$username$' has deleted template '$computer$'. 
Computer Management ,Template modified ,443,Info ,User '$username$' has modified template '$computer$'. 
Computer Management ,Temporary Enforcement Level override ,419,Warning ,A temporary override to place computer '$computer$' in Enforcement Level $param1$ for $param2$ minute(s) has been accepted. 
Computer Management ,Temporary Enforcement Level restore ,420,Notice ,Computer '$computer$' has been restored to Enforcement Level '$param1$'. 
Computer Management ,Temporary Policy override generated ,436,Info ,"User '$username$' has generated temporary Policy override code for computer '$computer$' with Enforcement Level '$param1', valid for $param2$ minutes. "
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
Computer Management ,Unauthorized computer registration ,430,Warning ,An unauthorized computer registration attempt was made from $ipaddress$ ($param1$). 
Discovery ,Banned file written to computer ,1004,Warning ,Computer $computer$ discovered new banned file '$filePathAndName$' [$hash$]. 
Discovery ,Certificate added ,1013,Info ,Certificate '$param1$' was added by user '$username$'. 
Discovery ,Certificate checked ,1014,Info ,Computer $computer$ reported that certificate used to sign file ‘$filePathAndName$’ is invalid. 
,,,,Error: 0x$param1$ 
,,,,Computer $computer$ reported that certificate used to counter-sign file ‘$filePathAndName$’ is invalid. Error: 0x$param1$ 
,,,,Server detected that certificate ‘$param2$’ is invalid. Error: 0x$param1$ Agent detected that certificate ‘$param2$’ is valid. 
,,,,Agent detected that certificate ‘$param2$’ is invalid. Error: 0x$param1$ Server checked certificate ‘$param2$’ for errors. Error flags: 0x$param1$ Agent has not been able to verify if certificate ‘$param2$’ is valid. 
,,,,Note:  “Invalid” for this event means that it has an error according to the Microsoft CryptoAPI. 
Discovery ,Certificate revocation ,1011,Warning ,Computer $computer$ detected revocation of certificate ‘$param2$’ on file ‘$filePathAndName$ Error: $param1$ 
,,,,Note: This event is for file-signing certificates. 
Discovery ,Device attached ,1009,Info ,Device '$param1$' was attached as drive '$param2$'. Interactive user at the time: '$username$'. 
Discovery ,Device detached ,1010,Info ,Device '$param1$' was detached as drive '$param2$'. Interactive user at the time: '$username$'. 
Discovery ,External notification ,1099,Info ,$Provider$ reported $notificationType$ with name $malwareName$ for file $filename$ from $sourceName$[$source_ipaddress$] to $destName$[$dest_ipaddress$]. Found on $num_endpoints$ endpoints. 
,,,,$Provider$ reported no threat for file ‘$filename$’. Found on $num_endpoints$ endpoints. 
Discovery ,File discovered (browser download) ,1020,Info ,The file '$pathname$$pathSeparator$$filename$' [$hash$] was downloaded by the browser $process$. $param1$ 
Discovery ,File discovered (email attachment) ,1021,Info ,The file '$pathname$$pathSeparator$$filename$' [$hash$] was created by the email client $process$. $param1$ 
Discovery ,File group created ,1001,Info ,Installation group was created for the file '$filePathAndName$' [$hash$]. 
,,,,
Type,Subtype ,ID No. ,Severity ,Example Descriptions/Comments 
Discovery ,First execution on network ,1007,Info ,File '$filePathAndName$' with hash [$hash$] was executed for the first time. 
Discovery ,Malicious file detected ,1201,Critical ,Unknown file '$fileName$' [$hash$] was identified by $provider$ as malicious. 
,,,,File '$fileName$' [$hash$] was identified by $provider$ as malicious. 
,,,,File '$fileName$ [$hash$] was identified by Cb Reputation as a malicious file. 
,,,,"Note: Standard external providers are Check Point, FireEye, Palo Alto Networks or Microsoft. Other providers might be added through the Cb Protection API. "
Discovery ,New certificate on network ,1012,Info ,Server discovered new certificate $SubjectName$. Note: This event is for file-signing certificates. 
Discovery ,New device found ,1008,Notice ,A new device '$deviceName$' was mounted as drive '$param2$'. Interactive user at the time: '$username$'. 
Discovery ,New file on network ,1005,Info ,Server discovered new file '$filePathAndName$' with hash [$hash$]. 
Discovery ,New publisher found ,1000,Notice ,New publisher ‘$publisherName$’ was added. 
Discovery ,New unapproved file to computer ,1003,Notice ,Computer $computer$ discovered new file '$filePathAndName$' [$hash$]. 
Discovery ,Potential risk file detected ,1200,Warning ,Unknown file '$filename$' [$hash$] was identified by $provider$ as a potential risk File '$filename$' [$hash$] was identified by $provider$ as a potential risk. 
,,,,File '$filename$’ [$hash$] was identified by Cb Reputation as a potential risk. 
,,,,"Note: Standard external providers are Check Point, FireEye, Palo Alto Networks or Microsoft. Other providers might be added through the Cb Protection API.  "
Discovery ,Service created ,1015,Info ,'$computer$' detected the creation of a new service: $servicename$. 
Discovery ,Service deleted ,1016,Info ,'$computer$' detected the deletion of a service: $servicename$. 
General Management ,Agent diagnostics available ,1117,Info ,Host '$computer$' generated automatic diagnostics '$param1$'. 
,,,,"Note: Param1 is the name of the zip file for the diagnostic package, with timestamp in the name. "
General Management ,Alert created ,1101,Info ,Alert '$alertname$' was created by '$username$'. 
General Management ,Alert deleted ,1102,Info ,Alert '$alertname$' was deleted by '$username$'. 
General Management ,Alert modified ,1103,Info ,Alert '$alertname$' was modified by '$username$'. 
General Management ,Alert reset ,1105,Info ,Alert '$alertname$' was cleared by '$username$'. 
General Management ,Alert triggered ,1104,Critical ,$alertname$: $alertmessage$ Examples: 
,,,/Error/ ,Revoked Certificate Alert: Certificate with subject 'New App Corp Digital ID-1' was revoked for publisher 'New App Corp' 
,,,Warning ,Backup Missed Alert: Scheduled database backup was not performed. 
,,,,"Note: Previously, Notice was the severity for all alerts. Now it is: Critical for High priority alerts; Error for Medium priority alerts; Warning for Low priority alerts. "
General Management ,Baseline Drift Report created ,1106,Info ,Baseline Drift Report '$param1$' has been created by '$userName$'. Change Note: Capitalization of the subtype was changed in v8.1.0. 
General Management ,Baseline Drift Report deleted ,1108,Info ,Baseline Drift Report '$reportname1$' has been deleted by '$userName$'. Change Note: Capitalization of the subtype was changed in v8.1.0. 
General Management ,Baseline Drift Report generated ,1109,Info ,Baseline Drift Report '$reportname$' has been generated. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
,,,,
Type,Subtype ,ID No. ,Severity ,Example Descriptions/Comments 
General Management ,Baseline Drift Report generation is slow ,1113,Warning ,Drift report $reportlink$ is taking a long time to generate. You may want to consider modifying your target or setting the report size to summary only. 
,,,,Note: Report name is a link in this description. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
General Management ,Baseline Drift Report modified ,1107,Info ,Baseline Drift Report '$reportname$' has been modified by '$userName$'. Change Note: Capitalization of the subtype was changed in v8.1.0. 
General Management ,Event Rule created ,1114,Info ,Event Rule '$ruleName$' has been created by '$userName$'. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
General Management ,Event Rule deleted ,1116,Info ,Event Rule '$ruleName$' has been deleted by '$userName$'. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
General Management ,Event Rule modified ,1115,Info ,Event Rule '$param1$' has been modified by '$userName$'. 
,,,,Event Rule '$ruleName1$' was disabled because analysis target is no longer valid. 
,,,,Event Rule '$param1$' was disabled because file uploads are no longer allowed. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
General Management ,Meter created ,632,Info ,Meter '$param1$' for ‘$fileName$’ was created by '$username$'. 
,,,,Note: Type was incorrectly identified as Policy Management in previous editions of this document. 
General Management ,Meter deleted ,633,Info ,Meter '$param1$' for ‘$fileName$’ was deleted by '$username$'.  
General Management ,Meter modified ,634,Info ,Meter '$param1$' for ‘$fileName$’ was modified by '$username$'. 
General Management ,Snapshot created ,1110,Info ,Snapshot '$snapshotName$' has been created by '$userName$'. 
General Management ,Snapshot deleted ,1112,Info ,Snapshot '$ snapshotName $' has been deleted by '$userName$'. 
General Management ,Snapshot modified ,1111,Info ,Snapshot '$ snapshotName $' has been modified by '$userName$'. 
Policy Enforcement ,Access block (Memory Rule) ,830,Notice ,Access to process '$filePathAndName$' was restricted - Requested[$param1$] Restricted[$param2$]. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0.  
Policy Enforcement ,Access prompt (Memory Rule) ,831,Info ,Access to process '$filePathAndName$' was granted because of a Memory Rule user response. 
,,,,Access to process '$filePathAndName$' was restricted because of a Memory Rule user response. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
Policy Enforcement ,Banned process discovered ,847,Warning ,The Cb Protection Agent discovered a banned process '$pathname$$pathSeparator$$filename$' 
,,,,[$hash$] that ran during system startup. $param1$ 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
Policy Enforcement ,Cb Response Watchlist ,842,Notice ,If Process watchlist and file are known to Cb Protection:  
,,,,Cb Response process watchlist '$ruleName$' hit for process '$process$' [$hash$] on computer '$computer$'. 
,,,,Cb Response watchlist '$watchlist$' detected file '$filePathAndName$' [$filehash$] on computer '$computer$'. 
,,,,If Process watchlist and file are unknown to Cb Protection: 
,,,,Cb Response process watchlist '$ruleName$' hit for unknown process '$process$' [$processhash$] on computer '$computer$'. 
,,,,Cb Response watchlist '$watchlist$' detected unknown file '$filePathAndName$' [$hash$] on computer '$computer$'. (continued) 
,,,,
Type,Subtype ,ID No. ,Severity ,Example Descriptions/Comments 
,,,,If Binary watchlist and file are known to Cb Protection: 
,,,,Cb Response binary watchlist '$ruleName$' detected file '$filePathAndName$' [$filehash$]. 
,,,,If Binary watchlist and file is unknown to Cb Protection: 
,,,,Cb Response binary watchlist '$ruleName$' detected unknown file '$filePathAndName$' [$filehash$]. 
,,,,"Change Note: Prior to v8.0.0, “Cb Response” in the subtype and descriptions was “Carbon Black”. Capitalization of the subtype changed in v8.1.0. "
Policy Enforcement ,Execution allowed (file loaded before kernel) ,843,Warning ,The $param1$ file '$pathname$$pathSeparator$$filename$' [$hash$] executed before the Cb Protection Agent was running. $param2$ 
Policy Enforcement ,Execution allowed (file loaded before service) ,844,Warning ,The $param1$ file '$pathname$$pathSeparator$$filename$' [$hash$] executed before the Cb Protection Agent was enforcing. $param2$ 
Policy Enforcement ,Execution allowed (inactive) ,841,Warning ,Execution of file '$filePathAndName$' [$hash$] would have blocked if Cb Protection Agent was active.  
Policy Enforcement ,Execution allowed (Trusted User) ,815,Notice ,Execution of unapproved file '$filePathAndName$' [$hash$] was allowed because of a Trusted User '$username$'. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0.  
Policy Enforcement ,Execution allowed (Unanalyzed file loaded before service) ,846,Warning ,The file '$pathname$$pathSeparator$$filename$' executed before the Cb Protection Agent started. The file was removed before the Cb Protection Agent could analyze it. $param2$ 
Policy Enforcement ,Execution block (banned file) ,802,Notice ,File '$filePathAndName$' [$hash$] was blocked because it was banned. 
Policy Enforcement ,Execution block (Custom Rule) ,806,Notice ,File '$filePathAndName$' with hash [$hash$] was blocked because of a Custom Rule. 
,,,,Process '$process$' was terminated due to a Custom Rule. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
Policy Enforcement ,Execution block (network file) ,805,Notice ,The file '$filePathAndName$' [$hash$] was blocked because it was located on a remote drive. 
Policy Enforcement ,Execution block (prompt timeout) ,839,Info ,File '$filePathAndName$' with hash [$hash$] was blocked because of a timeout waiting for user response. 
Policy Enforcement ,Execution block (removable media) ,819,Notice ,File '$filePathAndName$' with hash [$hash$] was blocked from execution because it was on removable media. 
Policy Enforcement ,Execution block (still analyzing) ,804,Info ,File '$filePathAndName$' was blocked because Cb Protection Agent did not have time to analyze it. 
Policy Enforcement ,Execution block (unapproved file) ,801,Notice ,File '$filePathAndName$' [$hash$] was blocked because it was unapproved. 
Policy Enforcement ,Execution prompt (Custom Rule) ,818,Info ,File '$filePathAndName$' [$hash$] was executed because of a Custom Rule user response. Change Note: Capitalization of the subtype was changed in v8.1.0. 
Policy Enforcement ,Execution prompt (unapproved file)  ,814,Info ,File '$filePathAndName$' [$hash$] was approved because of a user response. 
Policy Enforcement ,Execution prompt allowed (unapproved file) ,838,Info ,File '$filePathAndName$' [$hash$] was approved because of a user response. 
,,,,
Policy Enforcement ,Execution prompt block (unapproved file) ,837,Info ,File '$filePathAndName$' [$hash$] was blocked because of a user response.  
Policy Enforcement ,File access error ,825,Warning ,Unable to access the file '$filePathAndName$'. 
Policy Enforcement ,File approved (cache consistency) ,835,Info ,File '$filePathAndName$' [$hash$] was approved due to cache a consistency scan. 
,,,,
Type,Subtype ,ID No. ,Severity ,Example Descriptions/Comments 
Policy Enforcement ,File approved (Custom Rule) ,833,Info ,File '$filePathAndName$' [$hash$] was approved due to Custom Rule. Change Note: Capitalization of the subtype was changed in v8.1.0. 
Policy Enforcement ,File approved (local approval) ,813,Info ,File '$filePathAndName$' [$hash$] was locally approved. 
Policy Enforcement ,File approved (publisher) ,812,Info ,File '$filePathAndName$' [$hash$] was approved by Publisher '$publisherName$'. 
Policy Enforcement ,File approved (Reputation) ,840,Info ,File '$filePathAndName$' [$hash$] was approved by reputation. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
Policy Enforcement ,File approved (system update) ,836,Info ,File '$filePathAndName$' with hash [$hash$] was approved due to system update.  
,,,,"Note: For Windows, this applies to the package/root files from Windows Update, not files installed from them. "
Policy Enforcement ,File approved (Trusted User) ,810,Info ,File '$filePathAndName$' [$hash$] was approved by Trusted User '$username$'. Change Note: Capitalization of the subtype was changed in v8.1.0. 
Policy Enforcement ,File approved (Unidesk) ,850,Info ,The file '$pathname$$pathSeparator$$filename$' [$hash$] was approved due to Unidesk read-only provisioning. '$param1$' '$param2$' 
Policy Enforcement ,File approved (updater) ,811,Info ,File '$filePathAndName$' [$hash$] was approved by an Updater. 
Policy Enforcement ,File approved (version resource) ,834,Info ,File '$filePathAndName$' [$hash$] was approved due to version resource. 
Policy Enforcement ,Metered execution ,816,Notice ,Metered file '$filePathAndName$' [$hash$] was executed by the user '$username$'. 
Policy Enforcement ,New file discovered on startup ,845,Warning ,The newly discovered file '$pathname$$pathSeparator$$filename$' [$hash$] was executing when the Cb Protection Agent started. $param1$ 
,,,,"Change Note: Prior to v8.0.0, the subtype was “Execution allowed (New file discovered on startup)”. "
Policy Enforcement ,Prompt canceled ,849,Warning ,Prompt '$filePathAndName$' [$hash$] prompt is canceled ($param1$). 
,,,,Note: Param1 shows the reason a notifier prompt was cancelled. It can be one of the following: 
,,,,"•        EnforcementChange – Agent changed enforcement levels and the prompt no longer applies (e.g., moved from Medium to High, so the file will now just block). "
,,,,•        SubsequentBlock – Agent blocked the file and is no longer waiting for response (typically means timeout or file was banned or had a rule change the blocked it).  
,,,,•        AgentShutdown – System or daemon shutdown while the prompt was still outstanding. File will be blocked in this case. 
,,,,•        PingTimeout – Agent was unable to communicate with notifier and canceled the prompt. This is an error case and should be rare. 
,,,,Platform Note: This event only occurs for Mac OS X and Linux agents. 
Policy Enforcement ,Read block (removable media) ,821,Notice ,Read access to file '$filePathAndName$' with hash [$hash$] was blocked because it was on removable media. 
Policy Enforcement ,Report access (Memory Rule) ,829,Info ,Access to process '$filePathAndName$' was granted – Requested[$param1$] 
,,,,Note: Param1 is a hex number indicating the Windows code of the permissions requested. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
,,,,
Type,Subtype ,ID No. ,Severity ,Example Descriptions/Comments 
Policy Enforcement ,Report execution (Custom Rule) ,807,Notice ,File '$filePathAndName$' [$hash$] was executed. 
